     t       numeric x    exact x     numeric v     exact v  
0.19600000  1.94747518  1.94747486  9.80853406  9.80853413
0.19650000  1.95237944  1.95237888  9.80756032  9.80755916
0.19700000  1.95728274  1.95728241  9.80658168  9.80658175
0.19750000  1.96218603  1.96218546  9.80560304  9.80560188
0.19800000  1.96708834  1.96708802  9.80461950  9.80461956
0.19850000  1.97199065  1.97199008  9.80363595  9.80363479
0.19900000  1.97689198  1.97689165  9.80264751  9.80264757
0.19950000  1.98179330  1.98179273  9.80165906  9.80165790
0.20000000  1.98669363  1.98669331  9.80066571  9.80066578
0.20050000  1.99159397  1.99159339  9.79967237  9.79967121
0.20100000  1.99649331  1.99649298  9.79867412  9.79867419
0.20150000  2.00139264  2.00139207  9.79767587  9.79767471
0.20200000  2.00629098  2.00629065  9.79667273  9.79667279
0.20250000  2.01118932  2.01118874  9.79566958  9.79566842
0.20300000  2.01608665  2.01608632  9.79466154  9.79466160
0.20350000  2.02098398  2.02098340  9.79365349  9.79365234
0.20400000  2.02588031  2.02587997  9.79264055  9.79264062
0.20450000  2.03077663  2.03077604  9.79162761  9.79162646
0.20500000  2.03567193  2.03567160  9.79060978  9.79060985
0.20550000  2.04056724  2.04056665  9.78959194  9.78959079
0.20600000  2.04546153  2.04546119  9.78856921  9.78856928
0.20650000  2.05035581  2.05035522  9.78754648  9.78754532
0.20700000  2.05524907  2.05524873  9.78651885  9.78651892
0.20750000  2.06014233  2.06014174  9.78549123  9.78549008
0.20800000  2.06503456  2.06503422  9.78445871  9.78445878
0.20850000  2.06992679  2.06992620  9.78342619  9.78342504
0.20900000  2.07481799  2.07481765  9.78238878  9.78238886
0.20950000  2.07970918  2.07970858  9.78135137  9.78135022
0.21000000  2.08459934  2.08459900  9.78030907  9.78030915
0.21050000  2.08948950  2.08948889  9.77926677  9.77926563
0.21100000  2.09437861  2.09437826  9.77821959  9.77821966
0.21150000  2.09926772  2.09926711  9.77717240  9.77717125
0.21200000  2.10415578  2.10415543  9.77612032  9.77612039
0.21250000  2.10904384  2.10904323  9.77506824  9.77506709
0.21300000  2.11393085  2.11393050  9.77401127  9.77401135
0.21350000  2.11881785  2.11881724  9.77295431  9.77295316
0.21400000  2.12370380  2.12370345  9.77189246  9.77189253
0.21450000  2.12858975  2.12858913  9.77083060  9.77082946
0.21500000  2.13347463  2.13347428  9.76976387  9.76976394
0.21550000  2.13835952  2.13835890  9.76869713  9.76869598
0.21600000  2.14324333  2.14324298  9.76762551  9.76762558
0.21650000  2.14812714  2.14812652  9.76655388  9.76655274
0.21700000  2.15300988  2.15300953  9.76547738  9.76547746
0.21750000  2.15789262  2.15789200  9.76440087  9.76439973
0.21800000  2.16277429  2.16277393  9.76331949  9.76331956
0.21850000  2.16765594  2.16765532  9.76223810  9.76223696
0.21900000  2.17253652  2.17253617  9.76115183  9.76115191
0.21950000  2.17741710  2.17741647  9.76006556  9.76006442
0.22000000  2.18229659  2.18229623  9.75897441  9.75897449
0.22050000  2.18717608  2.18717545  9.75788327  9.75788213
0.22100000  2.19205447  2.19205411  9.75678724  9.75678732
0.22150000  2.19693287  2.19693223  9.75569121  9.75569007
0.22200000  2.20181016  2.20180980  9.75459030  9.75459039
0.22250000  2.20668746  2.20668682  9.75348940  9.75348826
0.22300000  2.21156365  2.21156329  9.75238362  9.75238370
0.22350000  2.21643984  2.21643921  9.75127784  9.75127670
0.22400000  2.22131493  2.22131457  9.75016718  9.75016726
0.22450000  2.22619001  2.22618937  9.74905652  9.74905538
0.22500000  2.23106399  2.23106362  9.74794099  9.74794107
0.22550000  2.23593796  2.23593731  9.74682546  9.74682432
0.22600000  2.24081081  2.24081045  9.74570505  9.74570513
0.22650000  2.24568366  2.24568302  9.74458464  9.74458351
0.22700000  2.25055540  2.25055503  9.74345937  9.74345945
0.22750000  2.25542713  2.25542648  9.74233409  9.74233296
0.22800000  2.26029773  2.26029736  9.74120394  9.74120402
0.22850000  2.26516833  2.26516768  9.74007379  9.74007266
0.22900000  2.27003780  2.27003743  9.73893877  9.73893886
0.22950000  2.27490727  2.27490662  9.73780375  9.73780262
0.23000000  2.27977561  2.27977524  9.73666386  9.73666395
0.23050000  2.28464394  2.28464328  9.73552398  9.73552285
